athlete_id,age,height,weight,sex
140,44.0,172.0,80.0,M
141,30.0,167.0,58.0,F
142,26.0,183.0,75.0,M
143,21.0,184.0,87.0,M
144,23.0,179.0,80.0,M
145,26.666666666666668,175.0,70.0,M
146,19.0,179.0,71.0,M
147,41.0,160.0,57.0,F
148,21.0,164.0,63.0,F
149,30.0,163.0,52.0,F
152,34.0,185.0,91.0,M
153,23.0,191.0,88.0,F
154,40.0,165.0,57.0,F
155,27.333333333333332,185.0,98.0,M
156,23.0,195.0,94.0,M
157,24.0,192.0,83.0,M
159,16.333333333333332,167.0,60.0,F
160,25.0,163.0,57.0,M
161,28.0,203.0,97.0,M
165,20.0,175.0,56.0,F
166,25.0,168.0,57.0,M
168,23.0,169.0,68.0,M
169,19.0,158.0,49.0,F
170,18.0,172.0,61.0,F
171,25.0,174.0,70.0,M
172,32.0,168.0,68.0,M
177,23.0,174.0,69.0,M
178,27.5,180.0,56.0,M
180,20.0,154.0,48.0,F
181,18.0,153.0,46.0,F
184,30.0,186.0,100.0,M
187,32.0,152.0,52.0,M
188,24.0,193.0,82.0,M
192,25.0,189.0,85.0,M
196,24.0,183.0,76.0,M
197,28.0,172.0,68.0,M
199,25.0,178.0,67.0,M
201,25.0,188.0,92.0,M
202,21.0,198.0,80.0,M
203,27.0,197.0,87.0,M
204,21.0,176.0,74.0,M
210,27.0,188.0,79.0,M
212,30.0,180.0,120.0,M
213,33.333333333333336,170.0,60.0,M
215,21.0,190.0,83.0,M
216,26.0,190.0,95.0,M
217,22.0,165.0,48.0,M
218,27.0,195.0,95.0,M
222,22.0,157.0,48.0,M
225,28.333333333333332,165.0,57.0,F
227,27.0,188.0,89.0,M
228,24.0,176.0,60.0,M
229,26.0,175.0,81.0,M
232,26.0,173.0,77.0,M
233,17.0,159.0,51.0,F
234,21.0,170.0,58.0,M
236,23.0,170.0,94.0,M
238,38.0,170.0,70.0,M
239,23.0,184.0,68.0,M
240,19.0,160.0,46.0,F
241,23.0,170.0,60.0,M
242,20.0,165.0,60.0,M
243,23.0,194.0,96.0,M
244,22.0,167.0,63.0,M
246,26.0,207.0,90.0,M
247,24.0,170.0,63.0,M
248,21.0,170.0,63.0,M
249,24.0,173.0,60.0,F
250,24.0,170.0,80.0,M
251,27.0,176.0,56.0,M
252,32.0,178.0,66.0,M
253,21.0,177.0,65.0,M
254,23.0,170.0,57.0,M
256,29.0,178.0,61.0,M
257,23.0,169.0,74.0,M
259,21.0,173.0,59.0,F
261,24.0,183.0,75.0,M
262,26.0,176.0,60.0,M
263,23.0,185.0,67.0,M
264,29.0,175.0,85.0,M
266,22.0,165.0,60.0,M
267,21.0,180.0,76.0,M
269,27.0,180.0,67.0,F
270,23.0,188.0,78.0,M
272,30.0,165.0,60.0,M
273,17.0,147.0,50.0,F
274,24.0,184.0,70.0,M
275,22.0,180.0,73.0,M
276,26.0,163.0,61.0,M
277,21.666666666666668,160.0,53.0,F
279,25.0,172.0,90.0,M
280,19.0,175.0,55.0,M
282,32.0,180.0,117.5,M
283,22.0,169.0,65.0,M
286,23.0,169.0,60.0,M
287,20.0,156.0,59.0,M
288,17.0,176.0,68.0,M
289,17.0,168.0,54.0,M
291,26.0,172.0,70.0,M
292,34.0,178.0,74.0,M
293,30.0,175.0,80.0,M
295,29.0,174.0,55.0,M
296,24.0,173.0,64.0,M
297,38.0,169.0,91.0,M
298,23.0,181.0,72.0,M
299,24.0,163.0,56.0,F
305,24.0,180.0,72.0,M
310,32.0,158.0,58.0,F
311,21.0,185.0,80.0,M
312,22.0,175.0,75.0,M
313,23.0,172.0,66.0,M
314,22.0,180.0,59.0,F
315,26.0,166.0,61.0,F
316,26.0,160.0,62.0,M
317,24.0,181.0,73.0,M
321,27.0,164.0,55.0,M
322,20.0,184.0,79.0,M
323,31.0,187.0,83.0,M
331,22.0,188.0,77.0,M
335,28.0,188.0,91.0,M
336,29.5,164.0,60.0,M
337,24.0,169.0,63.0,M
338,24.0,190.0,130.0,M
339,29.0,167.0,55.0,M
340,21.0,170.0,47.0,F
341,27.0,175.0,74.0,M
343,18.0,162.0,72.0,F
344,23.0,168.0,68.0,M
345,20.0,168.0,62.0,M
346,17.666666666666668,170.0,59.0,F
347,18.0,150.0,60.0,M
348,21.0,181.0,66.0,M
349,33.0,178.0,74.0,M
350,23.0,162.0,69.0,M
351,23.0,202.0,104.0,M
352,22.0,178.0,73.0,M
353,21.0,183.0,74.0,M
354,26.0,172.0,74.0,M
355,29.0,192.0,117.0,M
356,26.0,172.0,60.0,M
357,30.0,170.0,84.0,M
359,30.0,190.0,125.0,M
360,28.0,174.0,72.0,M
361,18.0,162.0,54.0,M
362,24.0,177.0,75.0,M
363,26.0,178.0,67.0,M
364,25.0,166.0,69.0,M
365,23.0,168.0,68.0,M
366,25.0,167.0,62.0,M
367,25.2,175.0,64.0,M
368,23.0,173.0,68.0,M
370,26.0,178.0,70.0,M
371,25.0,179.0,91.0,M
372,26.0,166.0,57.0,M
373,25.0,190.0,80.0,M
374,28.0,170.0,60.0,M
375,18.0,168.0,60.0,F
376,31.0,175.0,67.0,M
377,22.0,177.0,75.0,M
379,21.0,160.0,50.0,M
380,22.0,173.0,62.0,M
381,23.0,170.0,51.0,M
383,29.0,180.0,83.0,M
386,24.0,194.0,92.0,M
387,19.0,169.0,48.0,F
388,19.0,190.0,73.0,M
390,20.0,163.0,52.0,F
391,23.0,185.0,102.0,M
393,21.0,183.0,80.0,M
394,19.0,160.0,48.0,F
395,20.8,160.0,62.0,F
396,25.0,165.0,55.0,F
397,27.0,163.0,46.0,F
402,26.0,184.0,85.0,M
403,18.0,153.0,48.0,F
405,22.0,176.0,66.0,M
408,37.0,174.0,63.0,M
410,23.0,173.0,61.0,F
411,22.0,166.0,58.0,M
412,24.0,192.0,68.0,M
413,30.333333333333332,186.0,84.0,M
415,23.0,181.0,76.0,M
416,19.0,181.0,78.0,M
417,17.0,190.0,73.0,F
419,30.0,170.0,60.0,F
420,27.0,181.0,78.0,M
421,23.0,187.0,75.0,M
422,40.8,165.0,75.0,F
423,22.0,182.0,84.0,M
427,24.0,173.0,66.0,M
428,23.0,159.0,40.0,F
429,30.0,160.0,53.0,F
430,20.0,180.0,74.0,M
431,24.0,166.0,52.0,M
432,35.0,180.0,80.0,M
433,27.0,177.0,68.0,M
434,21.0,179.0,63.0,M
435,19.0,156.0,46.0,F
436,22.0,179.0,72.0,M
439,27.0,160.0,78.0,F
440,19.0,169.0,62.0,M
441,24.0,173.0,53.0,F
442,27.0,162.0,56.0,F
443,27.0,172.0,82.0,M
444,29.0,168.0,60.0,F
445,24.0,159.0,54.0,F
446,35.0,170.0,68.0,M
447,30.0,159.0,54.0,M
448,22.0,150.0,43.0,F
449,26.0,164.0,58.0,F
450,29.0,163.0,48.0,M
451,21.0,175.0,75.0,F
452,26.0,169.0,68.0,M
454,19.0,182.0,68.0,M
455,21.0,161.0,62.0,M
456,24.0,174.0,62.0,F
457,23.0,182.0,78.0,F
458,20.0,176.0,70.0,M
459,17.0,170.0,53.0,F
460,22.0,190.0,78.0,M
461,26.0,175.0,61.0,M
462,19.0,169.0,60.0,F
463,17.0,166.0,60.0,F
464,25.0,168.0,59.0,M
465,30.0,197.0,92.0,M
468,27.0,210.0,88.0,M
469,29.333333333333332,170.0,64.0,M
470,24.0,175.0,74.0,M
471,33.0,186.0,86.0,M
473,27.0,188.0,85.0,M
474,29.0,205.0,102.0,M
476,20.0,168.0,54.0,M
477,30.0,181.0,76.0,M
479,30.0,182.0,79.0,M
481,26.0,187.0,82.0,M
485,21.0,170.0,48.0,M
486,20.0,171.0,65.0,M
488,23.0,190.0,65.0,M
489,22.0,170.0,51.0,M
490,23.0,175.0,75.0,M
491,22.0,178.0,67.0,M
493,31.0,180.0,64.0,M
494,28.0,183.0,85.0,M
495,23.0,188.0,87.0,M
498,26.0,178.0,81.0,M
501,33.0,182.0,77.0,M
503,22.0,193.0,78.0,M
504,24.0,174.0,68.0,F
505,25.0,186.0,84.0,M
507,22.333333333333332,192.0,88.0,M
509,19.4,175.0,64.0,M
510,19.0,170.0,62.0,F
511,33.0,178.0,61.0,M
512,23.666666666666668,167.0,53.0,F
513,21.0,180.0,70.0,F
514,29.0,191.0,84.0,M
516,29.0,178.0,68.0,M
517,22.0,179.0,72.0,M
518,23.0,173.0,65.0,M
519,21.714285714285715,183.0,75.0,M
523,21.0,183.0,87.0,M
524,26.0,162.0,67.0,M
525,26.0,190.0,88.0,M
526,24.0,187.0,77.0,M
527,22.0,172.0,61.0,M
528,30.0,180.0,72.0,M
530,24.0,185.0,81.0,M
531,21.0,193.0,87.0,M
532,21.0,176.0,82.0,M
533,28.0,182.0,95.0,F
534,21.0,180.0,82.0,M
535,24.22222222222222,181.0,80.0,M
537,16.0,167.0,43.0,F
538,31.0,175.0,70.0,M
539,25.0,181.0,84.0,M
540,24.0,180.0,100.0,M
541,24.0,176.0,70.0,M
542,30.0,164.0,59.0,M
543,25.0,198.0,89.0,M
544,34.0,180.0,94.0,M
545,23.0,173.0,61.0,M
546,21.0,172.0,63.0,F
547,24.0,171.0,60.0,F
548,24.0,167.0,65.0,F
549,29.0,180.0,72.0,M
550,27.0,182.0,96.0,M
551,19.0,163.0,53.0,F
552,32.0,180.0,70.0,M
554,31.0,186.0,115.0,M
555,23.0,176.0,68.0,M
556,23.0,183.0,72.0,M
557,26.0,174.0,68.0,M
558,19.0,187.0,81.0,M
560,22.0,172.0,70.0,M
561,26.0,184.0,73.0,M
562,26.333333333333332,183.0,84.0,M
563,22.0,183.0,73.0,M
564,20.0,160.0,54.0,M
565,26.0,185.0,75.0,M
566,20.0,159.0,64.0,M
568,40.0,188.0,73.0,M
569,18.0,176.0,78.0,M
570,23.0,200.0,88.0,M
571,24.0,177.0,71.0,M
572,17.4,177.0,64.0,M
573,24.0,174.0,68.0,M
574,36.0,164.0,52.0,F
575,22.0,162.0,50.0,F
576,23.0,198.0,93.0,M
578,21.0,180.0,70.0,M
579,26.0,164.0,51.0,F
580,24.0,188.0,77.0,F
582,22.0,168.0,68.0,M
583,29.0,180.0,68.0,M
584,21.0,168.0,62.0,M
585,24.0,180.0,59.0,M
586,31.0,178.0,85.0,M
587,26.0,178.0,61.0,F
588,25.0,179.0,68.0,M
589,25.0,160.0,57.0,F
590,27.0,173.0,74.0,M
591,27.0,180.0,79.0,M
593,30.0,168.0,67.0,M
595,33.0,180.0,76.0,M
596,28.0,172.0,72.0,M
598,17.5,178.0,69.0,M
599,23.0,165.0,54.0,M
600,20.0,172.0,63.0,M
601,19.0,157.0,52.0,F
602,22.0,182.0,75.0,M
603,24.0,170.0,59.0,M
604,17.0,150.0,64.0,F
605,20.0,190.0,80.0,M
606,23.0,182.0,77.0,M
608,20.0,178.0,68.0,M
609,18.0,170.0,58.0,F
610,24.0,148.0,46.0,F
611,23.0,170.0,67.0,M
612,28.0,183.0,68.0,M
613,22.0,180.0,70.0,F
614,23.0,177.0,72.0,M
615,25.0,163.0,65.0,M
616,27.0,163.0,51.0,M
617,28.0,161.0,60.0,M
618,23.0,189.0,81.0,M
619,20.0,170.0,62.0,M
620,27.0,168.0,56.0,M
621,14.0,181.0,77.0,M
622,19.0,185.0,80.0,M
623,29.0,175.0,56.0,F
626,23.0,175.0,67.0,M
627,16.0,150.0,40.0,F
628,24.0,194.0,125.0,M
629,24.0,194.0,104.0,M
633,26.0,170.0,62.0,F
634,26.58823529411765,176.0,82.0,M
637,31.0,190.0,95.0,M
641,23.0,167.0,58.0,M
643,23.0,190.0,74.0,M
644,22.0,160.0,55.0,F
646,21.0,176.0,67.0,M
648,22.0,171.0,70.0,M
649,24.0,175.0,65.0,M
650,18.0,182.0,68.0,M
651,22.0,179.0,65.0,M
652,21.0,166.0,70.0,F
653,23.0,170.0,61.0,F
654,19.0,158.0,52.0,M
655,22.0,165.0,64.0,M
656,23.0,178.0,73.0,M
657,25.0,165.0,68.0,M
658,23.0,175.0,64.0,M
660,25.0,169.0,60.0,F
661,28.0,178.0,78.0,M
662,20.0,164.0,50.0,F
663,27.333333333333332,186.0,85.0,M
664,29.0,208.0,110.0,M
666,28.0,180.0,68.0,M
667,25.0,161.0,62.0,M
668,23.0,163.0,54.0,F
669,18.0,181.0,73.0,M
670,24.0,176.0,75.0,M
671,16.0,168.0,60.0,M
672,25.0,167.0,52.0,M
673,29.0,165.0,54.0,M
674,27.0,174.0,57.0,M
675,29.0,188.0,75.0,M
678,41.0,182.0,98.0,M
679,23.0,183.0,87.0,M
680,28.333333333333332,168.0,63.0,F
681,24.0,167.0,52.0,F
682,21.0,168.0,55.0,M
683,21.0,190.0,86.0,F
684,30.0,191.0,110.0,M
685,17.0,176.0,45.0,F
686,20.0,177.0,82.0,M
687,25.0,184.0,84.0,M
689,30.0,171.0,62.0,M
690,29.0,172.0,72.0,F
691,20.0,159.0,55.0,F
693,25.0,166.0,61.0,M
694,18.0,167.0,55.0,F
695,24.0,179.0,78.0,M
698,27.0,179.0,68.0,M
700,26.0,173.0,74.0,M
701,24.0,191.0,75.0,M
702,24.5,184.0,69.0,M
703,26.0,180.0,70.0,F
705,26.0,190.0,99.0,M
706,28.0,200.0,104.0,M
707,24.0,180.0,83.0,M
709,18.0,169.0,52.0,F
710,22.0,175.0,74.0,M
712,28.0,180.0,81.0,M
713,28.0,173.0,73.0,M
715,29.0,160.0,62.0,M
716,20.0,168.0,72.0,M
717,22.0,185.0,61.0,M
718,20.0,180.0,73.0,M
719,29.0,164.0,63.0,F
721,24.0,172.0,69.0,F
723,23.0,188.0,91.0,M
724,20.0,188.0,78.0,M
725,16.0,190.0,62.0,F
726,25.0,182.0,70.0,F
729,20.0,184.0,70.0,M
730,29.0,188.0,82.0,M
731,24.0,177.0,82.0,M
732,21.0,178.0,72.0,M
736,21.0,168.0,63.0,F
737,29.0,188.0,66.0,F
738,20.0,192.0,89.0,M
739,24.0,173.0,50.0,M
742,25.0,208.0,109.0,M
743,23.0,177.0,75.0,M
745,23.0,162.0,60.0,M
746,21.0,156.0,56.0,M
747,22.0,179.0,60.0,M
748,29.0,162.0,51.0,F
749,25.0,165.0,58.0,F
750,21.0,172.0,67.0,M
751,26.0,168.0,67.0,M
753,28.0,156.0,51.0,F
754,21.0,187.0,81.0,M
755,25.0,186.0,100.0,M
756,25.0,189.0,105.0,M
759,20.0,162.0,60.0,M
760,20.0,202.0,105.0,M
761,22.0,190.0,80.0,M
763,23.0,180.0,71.0,M
764,27.0,178.0,79.0,M
766,26.333333333333332,187.0,83.0,M
768,27.0,172.0,70.0,M
769,23.0,162.0,54.0,F
770,26.25,182.0,82.0,M
771,22.0,183.0,85.0,F
772,24.0,175.0,95.0,M
773,21.0,173.0,71.0,M
779,35.2,175.0,80.0,M
780,18.0,169.0,61.0,M
781,30.0,154.0,64.0,M
782,32.0,175.0,82.0,M
783,31.0,175.0,73.0,M
784,30.0,187.0,77.0,M
785,22.0,179.0,78.0,M
786,23.0,173.0,80.0,M
787,26.0,190.0,83.0,M
788,31.0,184.0,77.0,M
789,20.0,187.0,87.0,M
790,18.0,160.0,52.0,F
792,24.666666666666668,173.0,62.0,F
794,25.0,176.0,74.0,M
795,28.0,171.0,69.5,M
796,32.0,172.0,68.0,F
797,23.0,175.0,71.0,M
798,23.0,190.0,80.0,M
799,14.0,172.0,72.0,F
800,27.0,173.0,64.0,M
801,29.0,163.0,54.0,F
802,26.0,177.0,70.0,M
803,16.0,165.0,54.0,F
804,25.0,180.0,79.0,M
807,22.0,188.0,78.0,M
809,27.0,183.0,67.0,M
811,22.0,173.0,65.0,F
812,30.0,188.0,79.0,M
815,24.0,169.0,68.0,M
817,38.0,177.0,70.0,M
819,24.0,178.0,95.0,M
821,22.0,167.0,75.0,M
823,29.0,178.0,64.0,M
824,31.0,189.0,70.0,M
826,23.0,194.0,87.0,M
827,26.0,174.0,73.0,F
828,38.0,169.0,68.0,F
830,25.0,178.0,78.0,M
832,31.0,164.0,51.0,F
833,25.0,171.0,59.0,F
834,24.0,185.0,98.0,M
835,45.285714285714285,163.0,93.0,M
836,24.77777777777778,188.0,78.0,M
837,26.0,188.0,81.0,F
838,20.0,170.0,56.0,M
839,17.0,188.0,85.0,M
840,24.0,164.0,69.0,F
841,25.0,172.0,67.0,M
844,19.0,198.0,93.0,M
846,25.0,193.0,120.0,F
847,22.0,181.0,84.0,M
848,20.0,179.0,74.0,M
849,27.0,189.0,87.0,M
851,23.0,171.0,58.0,M
853,22.0,177.0,68.0,M
854,28.0,177.0,72.0,M
855,27.0,183.0,74.0,M
856,25.0,171.0,65.0,M
858,23.0,170.0,81.0,M
860,23.0,185.0,94.0,M
861,25.0,166.0,57.0,M
862,23.0,160.0,49.0,F
863,24.0,165.0,59.0,M
864,24.0,180.0,75.0,F
867,25.0,183.0,80.0,M
868,20.0,178.0,72.0,F
870,26.0,168.0,55.0,M
871,21.0,178.0,78.0,M
873,28.0,179.0,70.0,M
876,37.0,181.0,70.0,M
877,22.0,195.0,115.0,M
878,28.0,164.0,56.0,M
879,23.0,170.0,65.0,M
880,21.0,177.0,75.0,M
881,24.0,182.0,81.0,M
882,19.0,180.0,79.0,M
883,29.0,170.0,67.0,M
885,23.0,191.0,76.0,M
886,23.0,178.0,70.0,M
887,26.857142857142858,183.0,75.0,M
888,25.0,188.0,88.0,M
889,24.0,161.0,58.0,F
892,24.0,185.0,75.0,M
893,23.0,170.0,60.0,F
894,29.0,162.0,92.0,M
896,22.0,181.0,82.0,M
897,27.0,181.0,66.0,M
898,24.0,186.0,77.0,M
900,23.0,166.0,63.0,F
901,28.0,140.0,48.0,M
902,22.0,169.0,53.0,F
903,18.666666666666668,163.0,52.0,F
904,25.0,163.0,52.0,F
906,33.0,213.0,135.0,M
907,38.0,185.0,90.0,M
908,19.0,190.0,80.0,M
909,24.0,177.0,70.0,M
911,17.0,178.0,65.0,M
912,19.0,175.0,67.0,F
915,20.0,168.0,58.0,M
916,28.0,177.0,85.0,M
917,24.0,202.0,91.0,M
918,26.0,179.0,74.0,M
919,21.0,180.0,47.0,M
920,25.0,178.0,75.0,M
921,23.0,176.0,69.0,M
922,22.666666666666668,180.0,68.0,M
923,21.285714285714285,186.0,78.0,M
924,23.0,165.0,58.0,F
925,27.0,187.0,65.0,F
926,26.666666666666668,177.0,70.0,M
927,27.0,162.0,65.0,F
928,31.0,166.0,60.0,M
929,28.0,170.0,50.0,F
934,22.0,174.0,71.0,M
936,27.0,162.0,65.0,M
938,23.333333333333332,173.0,74.0,M
939,31.0,163.0,69.0,M
941,20.0,176.0,74.0,M
942,25.0,153.0,52.0,F
943,23.0,168.0,66.0,M
944,16.0,168.0,58.0,F
945,17.0,177.0,73.0,M
946,23.5,176.0,65.0,M
947,26.666666666666668,195.0,88.0,M
948,21.0,185.0,63.0,M
950,19.0,165.0,58.0,F
951,22.0,162.0,50.0,F
953,26.666666666666668,180.0,70.0,M
954,23.0,165.0,65.0,F
956,27.0,190.0,110.0,M
959,28.0,175.0,80.0,M
960,23.0,173.0,61.0,F
961,22.0,188.0,80.0,M
963,26.0,188.0,80.0,M
965,24.0,186.0,80.0,M
966,30.0,180.0,72.0,M
967,23.0,172.0,62.0,M
970,18.0,162.0,56.0,F
971,20.0,182.0,77.0,M
976,17.0,153.0,38.0,F
979,41.0,177.0,70.0,M
980,21.0,179.0,70.0,F
981,25.5,177.0,62.0,F
982,23.0,194.0,82.0,M
984,21.0,165.0,53.0,F
985,25.0,177.0,65.0,M
987,25.0,173.0,81.0,M
989,20.0,173.0,61.0,M
991,24.0,168.0,59.0,M
993,20.0,165.0,56.0,F
996,21.0,182.0,72.0,M
997,24.0,183.0,81.0,M
998,25.0,180.0,77.0,M
999,25.0,180.0,74.0,M
1000,26.0,202.0,100.0,M
1001,19.0,175.0,55.0,M
1002,20.0,170.0,69.0,M
1003,18.0,162.0,56.0,F
1004,22.0,204.0,100.0,M
1005,31.0,182.0,93.0,M
1008,34.0,192.0,83.0,M
1009,21.0,187.0,77.0,M
1010,23.0,180.0,64.0,M
1011,23.0,160.0,51.0,M
1012,25.0,190.0,91.0,M
1013,22.0,160.0,55.0,M
1014,28.0,167.0,68.0,M
1017,24.5,198.0,100.0,M
1018,22.0,168.0,57.0,F
1019,35.666666666666664,151.0,52.0,F
1020,25.0,180.0,61.0,F
1021,41.0,176.0,120.0,M
1022,33.0,185.0,95.0,M
1023,29.0,170.0,65.0,F
1024,30.75,180.0,96.0,F
1025,30.0,189.0,87.0,M
1026,21.0,173.0,72.0,M
1027,25.0,173.0,65.0,M
1028,19.0,170.0,66.0,M
1030,24.0,165.0,64.0,F
1031,24.0,185.0,82.0,M
1032,22.0,190.0,82.0,M
1033,27.0,154.0,52.0,M
1034,20.0,160.0,55.0,F
1035,25.0,190.0,80.0,M
1036,26.0,192.0,65.0,F
1037,25.0,175.0,69.0,M
1038,28.0,190.0,90.0,M
1039,24.0,170.0,59.0,F
1040,30.0,180.0,98.0,M
1043,22.0,170.0,58.0,F
1044,26.0,186.0,85.0,M
1045,27.0,180.0,95.0,M
1046,24.0,189.0,82.0,M
1048,24.0,181.0,93.0,M
1050,24.0,175.0,75.0,M
1052,21.0,191.0,86.0,M
1053,20.0,177.0,80.0,M
1055,37.0,162.0,51.0,F
1056,33.0,182.0,68.0,M
1057,28.0,182.0,64.0,F
1058,22.0,178.0,67.0,M
1059,22.333333333333332,166.0,50.0,F
1060,31.0,173.0,64.0,F
1062,34.0,186.0,86.0,M
1063,25.0,186.0,86.0,M
1067,25.0,188.0,82.0,M
1068,19.0,175.0,68.0,M
1069,30.0,187.0,80.0,M
1070,23.0,175.0,79.0,M
1071,17.5,158.0,48.0,F
1072,30.0,164.0,56.0,F
1073,26.0,175.0,74.0,M
1074,21.0,182.0,70.0,M
1075,20.0,169.0,54.0,M
1078,21.0,186.0,74.0,M
1079,26.0,187.0,87.0,M
1080,18.0,180.0,82.0,M
1081,18.0,168.0,58.0,F
1082,28.0,194.0,92.0,M
1084,19.0,163.0,54.0,F
1085,26.0,183.0,88.0,M
1086,27.0,184.0,77.0,M
1087,17.0,162.0,60.0,F
1088,22.0,180.0,62.0,F
1089,24.0,189.0,67.0,M
1091,21.0,190.0,85.0,M
1092,25.0,176.0,80.0,M
1093,25.0,171.0,62.0,F
1094,22.0,178.0,70.0,F
1095,28.0,175.0,75.0,M
1096,20.0,165.0,52.0,F
1097,27.0,194.0,103.0,M
1098,26.0,188.0,88.0,M
1099,37.0,172.0,69.0,M
1102,25.0,169.0,78.0,M
1103,21.0,184.0,69.0,M
1104,25.0,173.0,76.0,M
1107,27.0,193.0,104.0,M
1108,28.0,175.0,75.0,M
1109,16.0,148.0,40.0,F
1110,25.0,190.0,86.0,M
1112,16.0,160.0,50.0,F
1113,21.0,193.0,82.0,M
1114,29.25,187.0,93.0,M
1115,20.0,158.0,51.0,F
1116,26.666666666666668,173.0,59.0,F
1117,32.0,181.0,76.0,M
1118,25.0,170.0,55.0,F
1120,28.0,182.0,72.0,M
1121,31.0,195.0,96.0,M
1122,26.0,180.0,80.0,M
1123,19.0,180.0,72.0,M
1125,22.0,186.0,96.0,M
1126,24.0,168.0,62.0,M
1127,27.0,178.0,73.0,M
1128,27.0,179.0,74.0,M
1129,27.0,159.0,54.0,M
1130,29.0,185.0,80.0,M
1131,23.0,164.0,66.0,F
1132,28.0,193.0,97.0,M
1133,19.0,167.0,66.0,F
1135,22.0,184.0,66.0,M
1136,43.0,163.0,61.0,M
1138,24.0,166.0,72.0,M
1139,23.0,170.0,66.0,M
1140,27.0,180.0,79.0,M
1142,24.333333333333332,163.0,55.0,F
1143,25.0,180.0,69.0,M
1147,24.0,184.0,80.0,M
1148,23.0,167.0,55.0,M
1149,18.0,170.0,67.0,F
1152,23.0,175.0,66.0,M
1153,29.0,180.0,74.0,M
1154,26.0,186.0,90.0,M
1155,22.0,176.0,82.0,M
1156,18.0,194.0,78.0,M
1157,18.333333333333332,187.0,78.0,M
1158,28.0,177.0,84.0,M
1159,18.0,173.0,75.0,M
1160,20.0,160.0,51.0,M
1162,21.0,193.0,75.0,M
1163,27.0,190.0,83.0,M
1164,27.0,177.0,63.0,F
1165,27.0,171.0,70.0,M
1166,26.0,170.0,61.0,F
1167,18.0,168.0,65.0,M
1169,27.666666666666668,172.0,58.0,F
1170,22.0,171.0,62.0,M
1171,20.0,175.0,75.0,M
1173,20.666666666666668,202.0,90.0,M
1175,20.0,165.0,64.0,M
1177,27.0,182.0,82.0,M
1178,32.0,175.0,79.0,M
